actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
706,105900,0.2698034,0.24921183,0.24462688,0.14607973,150,0.0,0.39211392,0.42876142,0.43479934,0.5359399,0.6619173,0.6779732,0.6794262,0.6820196,0.29589015,0.33033642,0.32779226,0.34820074,14.658778573983861,0.0,0.0
714,107100,0.21818301,0.25930265,0.24620315,0.14736369,150,0.0,0.46465728,0.4172801,0.4332636,0.5346054,0.6828403,0.67658275,0.6794668,0.68196905,0.34012762,0.32614493,0.32789955,0.34797233,16.67401496338661,0.0,0.0
722,108300,0.2500923,0.23780665,0.24254374,0.14833434,150,0.0,0.44181684,0.44197536,0.43679553,0.5336356,0.69190913,0.67978203,0.67933923,0.68196994,0.3579864,0.3327473,0.32906994,0.34784675,16.18585520531508,0.0,0.0
730,109500,0.23869276,0.1918821,0.24003118,0.14874347,150,0.0,0.4526317,0.498102,0.44065818,0.5333523,0.6913245,0.68998414,0.68068933,0.6820957,0.35685495,0.35369045,0.33069065,0.3479865,15.251802314314462,0.0,0.0
738,110700,0.25506014,0.2026352,0.23883222,0.1494578,150,0.0,0.44822305,0.4908441,0.44335082,0.53273535,0.7032832,0.69347936,0.682183,0.6821931,0.3795039,0.35905617,0.3357424,0.34805244,16.52670031028857,0.0,0.0
742,111300,0.21982574,0.23800954,0.23888224,0.14993277,150,0.0,0.43406093,0.4512731,0.44339615,0.5323022,0.6538867,0.6892827,0.6822785,0.682235,0.28877702,0.35079083,0.337174,0.34808168,14.856264897544659,0.0,0.0
750,112500,0.3153462,0.1964956,0.23387237,0.15029858,150,0.0,0.38598594,0.47815132,0.44729093,0.5318043,0.70133215,0.6746469,0.68116343,0.6821029,0.375876,0.32463208,0.33530223,0.3477333,15.125969929702876,0.0,0.0
758,113700,0.21585736,0.21991923,0.23369412,0.15130672,150,0.0,0.44875225,0.46135116,0.44820595,0.5308234,0.6646096,0.6812704,0.6819,0.6821301,0.301864,0.33651602,0.33689514,0.34768477,16.350665931429482,0.0,0.0
762,114300,0.25512478,0.2567646,0.23411757,0.151874,150,0.0,0.45384142,0.4261508,0.4480092,0.5302318,0.7089662,0.6829154,0.68212676,0.6821057,0.38661498,0.33949012,0.33737186,0.34758583,15.006159091681559,0.0,0.0
770,115500,0.25666803,0.25204143,0.23451868,0.15286268,150,0.0,0.45305157,0.43101043,0.44777283,0.5292692,0.7097196,0.6830518,0.6822915,0.6821318,0.38951614,0.33959287,0.33780304,0.34753367,16.847316109917195,0.0,0.0
774,116100,0.23815134,0.24448046,0.23529299,0.15333202,150,0.0,0.4600089,0.43992776,0.44757935,0.5288344,0.69816023,0.6844082,0.6828724,0.68216634,0.36992386,0.34206623,0.3388578,0.34754607,14.954390987170461,0.0,0.0
782,117300,0.2448768,0.22263293,0.23345795,0.1539863,150,0.0,0.4643643,0.45878258,0.44934407,0.5281992,0.7092411,0.6814155,0.682802,0.6821854,0.3891341,0.3357022,0.33880433,0.34747815,16.683207239419687,0.0,0.0
790,118500,0.27426592,0.2258317,0.2329702,0.15486467,150,0.0,0.38357517,0.45710883,0.44995567,0.5273214,0.6578411,0.6829405,0.6829259,0.682186,0.2868669,0.33489242,0.3388484,0.34733385,16.197189462255984,0.0,0.0
798,119700,0.28546733,0.2529388,0.23312946,0.1559269,150,0.0,0.4007162,0.41927576,0.44938096,0.52617705,0.6861835,0.67221457,0.68251044,0.68210393,0.34679067,0.3179826,0.33803383,0.3470718,15.302097103655036,0.0,0.0
806,120900,0.27115807,0.24044344,0.23261479,0.15678954,150,0.0,0.3851919,0.44088656,0.45015985,0.52532357,0.65634996,0.6813301,0.68277466,0.68211305,0.28663433,0.33406046,0.3382558,0.34696993,15.131740502171901,0.0,0.0
814,122100,0.26379275,0.25441632,0.23275326,0.15782811,150,0.0,0.40789264,0.43159723,0.4507476,0.5243287,0.6716854,0.6860136,0.6835008,0.6821568,0.31713906,0.34510028,0.3397796,0.3469683,14.560589509544352,0.0,0.0
818,122700,0.27120423,0.26525974,0.23342022,0.15833595,150,0.0,0.38653982,0.4196713,0.4498472,0.52378875,0.65774405,0.6849311,0.68326753,0.6821247,0.28844565,0.34294036,0.3392669,0.34685436,14.518487079759954,0.0,0.0
822,123300,0.1967768,0.26086462,0.23522039,0.15887876,150,0.0,0.494662,0.4194425,0.4477767,0.5232159,0.6914388,0.68030715,0.6829971,0.68209463,0.35707635,0.333943,0.33883423,0.34675294,14.826884106216143,0.0,0.0
826,123900,0.28753352,0.22929683,0.23396735,0.15892293,150,0.0,0.39581895,0.44761056,0.44894817,0.5231887,0.6833525,0.6769074,0.6829155,0.68211156,0.34115466,0.32654393,0.3385822,0.34673476,14.148541815198534,0.0,0.0
